version,url,sha,beta
0.8.8,https://releases.hashicorp.com/terraform/0.8.8/terraform_0.8.8_linux_amd64.zip,403d65b8a728b8dffcdd829262b57949bce9748b91f2e82dfd6d61692236b376,false
0.7.10,https://releases.hashicorp.com/terraform/0.7.10/terraform_0.7.10_linux_amd64.zip,a6da76d6228349855f7c503b769fb231e6b1009add5e5b2586ecb7624e9ecf15,false
1.1.0-alpha20211029,https://releases.hashicorp.com/terraform/1.1.0-alpha20211029/terraform_1.1.0-alpha20211029_linux_amd64.zip,02755bf95146d872b45694c5783b4d0fc28806f86de57bf57acea7049b406758,false
0.15.3,https://releases.hashicorp.com/terraform/0.15.3/terraform_0.15.3_linux_amd64.zip,5ce5834fd74e3368ad7bdaac847f973e66e61acae469ee86b88da4c6d9f933d4,false
0.13.0-beta1,https://releases.hashicorp.com/terraform/0.13.0-beta1/terraform_0.13.0-beta1_linux_amd64.zip,cd867252689979ca33517b9e391fe39fceecf0b6df91450a6abb75833cbd2c7f,true
0.11.3,https://releases.hashicorp.com/terraform/0.11.3/terraform_0.11.3_linux_amd64.zip,6b8a7b83954597d36bbed23913dd51bc253906c612a070a21db373eab71b277b,false
0.11.6,https://releases.hashicorp.com/terraform/0.11.6/terraform_0.11.6_linux_amd64.zip,aed5c7388a3c54dc816986903d4dea32e182a002d746295e1016f6db741f472d,false
0.10.7,https://releases.hashicorp.com/terraform/0.10.7/terraform_0.10.7_linux_amd64.zip,8fb5f587fcf67fd31d547ec53c31180e6ab9972e195905881d3dddb8038c5a37,false
0.10.0-beta2,https://releases.hashicorp.com/terraform/0.10.0-beta2/terraform_0.10.0-beta2_linux_amd64.zip,31eb44cd3ffe12ec386668a2702c7040a69c63b3bd833f046758c1a91b3a79df,true
0.8.2,https://releases.hashicorp.com/terraform/0.8.2/terraform_0.8.2_linux_amd64.zip,a366fd2d7d8908d23acc23ab151fc692615a147f8832971bb43e42995554c652,false
0.15.1,https://releases.hashicorp.com/terraform/0.15.1/terraform_0.15.1_linux_amd64.zip,1ff798791abf518fb0b5d9958ec8327b7213f1c91fb5235923e91cc96c59ef2c,false
